File_Name,File_Num,Reordered,BarcodeSet,SampleCollection,Expt,Condition,Treatment,TimePoint,Replicate,Event_Count
Sample001_normalized_BDNF_15min_1_Cells_To_Analyze_157Gated_quantile.fcs,1,38,1,User-Defined,4,BDNF_15min,BDNF,0.25,1,18442
Sample001_normalized_BDNF_16hr_1_Cells_To_Analyze_157Gated_quantile.fcs,2,47,1,User-Defined,4,BDNF_16hr,BDNF,16,1,10509
Sample001_normalized_BDNF_1hr_1_Cells_To_Analyze_157Gated_quantile.fcs,3,41,1,User-Defined,4,BDNF_1hr,BDNF,1,1,16377
Sample001_normalized_BDNF_4hr_1_Cells_To_Analyze_157Gated_quantile.fcs,4,44,1,User-Defined,4,BDNF_4hr,BDNF,4,1,13262
Sample001_normalized_BDNF_5min_1_Cells_To_Analyze_157Gated_quantile.fcs,5,35,1,User-Defined,4,BDNF_5min,BDNF,0.083,1,13344
Sample001_normalized_CompMed_15min_1_Cells_To_Analyze_157Gated_quantile.fcs,6,22,1,User-Defined,3,CompMed_15min,CompMed,0.25,1,18095
Sample001_normalized_CompMed_16hr_1_Cells_To_Analyze_157Gated_quantile.fcs,7,30,1,User-Defined,3,CompMed_16hr,CompMed,16,1,13374
Sample001_normalized_CompMed_1hr_1_Cells_To_Analyze_157Gated_quantile.fcs,8,24,1,User-Defined,3,CompMed_1hr,CompMed,1,1,18966
Sample001_normalized_CompMed_4hr_1_Cells_To_Analyze_157Gated_quantile.fcs,9,27,1,User-Defined,3,CompMed_4hr,CompMed,4,1,16314
Sample001_normalized_CompMed_5min_1_Cells_To_Analyze_157Gated_quantile.fcs,10,20,1,User-Defined,3,CompMed_5min,CompMed,0.083,1,17623
Sample001_normalized_Cont._Depr._15min_1_Cells_To_Analyze_157Gated_quantile.fcs,11,7,1,User-Defined,2,ContDepr_15min,ContDepr,0.25,1,8000
Sample001_normalized_Cont._Depr._16hr_1_Cells_To_Analyze_157Gated_quantile.fcs,12,15,1,User-Defined,2,ContDepr_16hr,ContDepr,16,1,15502
Sample001_normalized_Cont._Depr._1hr_1_Cells_To_Analyze_157Gated_quantile.fcs,13,9,1,User-Defined,2,ContDepr_1hr,ContDepr,1,1,15624
Sample001_normalized_Cont._Depr._4hr_1_Cells_To_Analyze_157Gated_quantile.fcs,14,12,1,User-Defined,2,ContDepr_4hr,ContDepr,4,1,13643
Sample001_normalized_Cont._Depr._5min_1_Cells_To_Analyze_157Gated_quantile.fcs,15,5,1,User-Defined,2,ContDepr_5min,ContDepr,0.083,1,7679
Sample001_normalized_NoTreat_0hr_1_Cells_To_Analyze_157Gated_quantile.fcs,16,1,1,User-Defined,1,NoTreat_0hr,NoTreat,0,1,8892
Sample002_normalized_BDNF_15min_2_Cells_To_Analyze_157Gated_quantile.fcs,17,39,2,User-Defined,4,BDNF_15min,BDNF,0.25,2,13387
Sample002_normalized_BDNF_16hr_2_Cells_To_Analyze_157Gated_quantile.fcs,18,48,2,User-Defined,4,BDNF_16hr,BDNF,16,2,15485
Sample002_normalized_BDNF_1hr_2_Cells_To_Analyze_157Gated_quantile.fcs,19,42,2,User-Defined,4,BDNF_1hr,BDNF,1,2,20281
Sample002_normalized_BDNF_4hr_2_Cells_To_Analyze_157Gated_quantile.fcs,20,45,2,User-Defined,4,BDNF_4hr,BDNF,4,2,13762
Sample002_normalized_BDNF_5min_2_Cells_To_Analyze_157Gated_quantile.fcs,21,36,2,User-Defined,4,BDNF_5min,BDNF,0.083,2,17528
Sample002_normalized_CompMed_15min_2_Cells_To_Analyze_157Gated_quantile.fcs,22,23,2,User-Defined,3,CompMed_15min,CompMed,0.25,2,27022
Sample002_normalized_CompMed_16hr_2_Cells_To_Analyze_157Gated_quantile.fcs,23,31,2,User-Defined,3,CompMed_16hr,CompMed,16,2,15648
Sample002_normalized_CompMed_1hr_2_Cells_To_Analyze_157Gated_quantile.fcs,24,25,2,User-Defined,3,CompMed_1hr,CompMed,1,2,8515
Sample002_normalized_CompMed_4hr_2_Cells_To_Analyze_157Gated_quantile.fcs,25,28,2,User-Defined,3,CompMed_4hr,CompMed,4,2,8977
Sample002_normalized_CompMed_5min_2_Cells_To_Analyze_157Gated_quantile.fcs,26,21,2,User-Defined,3,CompMed_5min,CompMed,0.083,2,32672
Sample002_normalized_Cont._Depr._15min_2_Cells_To_Analyze_157Gated_quantile.fcs,27,8,2,User-Defined,2,ContDepr_15min,ContDepr,0.25,2,18205
Sample002_normalized_Cont._Depr._16hr_2_Cells_To_Analyze_157Gated_quantile.fcs,28,16,2,User-Defined,2,ContDepr_16hr,ContDepr,16,2,15761
Sample002_normalized_Cont._Depr._1hr_2_Cells_To_Analyze_157Gated_quantile.fcs,29,10,2,User-Defined,2,ContDepr_1hr,ContDepr,1,2,12803
Sample002_normalized_Cont._Depr._4hr_2_Cells_To_Analyze_157Gated_quantile.fcs,30,13,2,User-Defined,2,ContDepr_4hr,ContDepr,4,2,15735
Sample002_normalized_Cont._Depr._5min_2_Cells_To_Analyze_157Gated_quantile.fcs,31,6,2,User-Defined,2,ContDepr_5min,ContDepr,0.083,2,23642
Sample002_normalized_NoTreat_0hr_2_Cells_To_Analyze_157Gated_quantile.fcs,32,2,2,User-Defined,1,NoTreat_0hr,NoTreat,0,2,15110
