Name,Desc,Fixed_Param,Analysis,Plot,Transform,Factor
Time,Time,Time,0,0,Linear,1
Event_length,Event_length,Event_length,0,0,Linear,1
Center,Center,Center,0,0,Linear,1
Width,Width,Width,0,0,Linear,1
Residual,Residual,Residual,0,0,Linear,1
Offset,Offset,Offset,0,0,Linear,1
Amplitude,Amplitude,Amplitude,0,0,Linear,1
Y89Di,89Y_Tuj1,Tuj1_89Y,1,1,Asinh,5
Pd102Di,102Pd,102Pd,0,0,Asinh,5
Rh103Di,103Rh,103Rh,0,0,Asinh,5
Pd104Di,104Pd,104Pd,0,0,Asinh,5
Pd105Di,105Pd,105Pd,0,0,Asinh,5
Pd106Di,106Pd,106Pd,0,0,Asinh,5
Pd108Di,108Pd,108Pd,0,0,Asinh,5
Pd110Di,110Pd,110Pd,0,0,Asinh,5
In113Di,113In_pPLK1,pPLK1_113In,0,1,Asinh,5
Cd114Di,114Cd,114Cd,0,0,Asinh,5
In115Di,115In_H3K9ac,H3K9ac_115In,0,1,Asinh,5
Sn120Di,120Sn,120Sn,0,0,Asinh,5
I127Di,127I,127I,0,0,Asinh,5
Xe131Di,131Xe,131Xe,0,0,Asinh,5
Cs133Di,133Cs,133Cs,0,0,Asinh,5
Ba138Di,138Ba,138Ba,0,0,Asinh,5
La139Di,139La_pGSK3b,pGSK3b_139La,0,1,Asinh,5
Ce140Di,140Ce,140Ce,0,0,Asinh,5
Pr141Di,141Pr_CXC3CR1,CXC3CR1_141Pr,1,1,Asinh,5
Nd142Di,142Nd_p-p38,p-p38_142Nd,0,1,Asinh,5
Nd143Di,143Nd_Vimentin,Vimentin_143Nd,1,1,Asinh,5
Nd144Di,144Nd_pPLCG-2,pPLCG-2_144Nd,0,1,Asinh,5
Nd145Di,145Nd_OligoO4,OligoO4_145Nd,1,1,Asinh,5
Nd146Di,146Nd_s100b,s100b_146Nd,1,1,Asinh,5
Sm147Di,147Sm_pSTAT5,pSTAT5_147Sm,0,1,Asinh,5
Nd148Di,148Nd_HB9,HB9_148Nd,1,1,Asinh,5
Sm149Di,149Sm_CGRP,CGRP_149Sm,1,1,Asinh,5
Nd150Di,150Nd_NeuN,NeuN_150Nd,1,1,Asinh,5
Eu151Di,151Eu_p-p53,p-p53_151Eu,0,1,Asinh,5
Sm152Di,152Sm_CHAT,CHAT_152Sm,1,1,Asinh,5
Eu153Di,153Eu_pSTAT3,pSTAT3_153Eu,0,1,Asinh,5
Sm154Di,154Sm_pSrc,pSrc_154Sm,0,1,Asinh,5
Gd155Di,155Gd_nNOS,nNOS_155Gd,1,1,Asinh,5
Gd156Di,156Gd,156Gd,0,0,Asinh,5
Gd157Di,157Gd,157Gd,0,0,Asinh,5
Gd158Di,158Gd_TrkB_s,TrkB_s_158Gd,0,1,Asinh,5
Tb159Di,159Tb_pATM,pATM_159Tb,0,1,Asinh,5
Gd160Di,160Gd_Sox2,Sox2_160Gd,1,1,Asinh,5
Dy161Di,161Dy_p75NTR,p75NTR_161Dy,1,1,Asinh,5
Dy162Di,162Dy_p-cJUN,p-cJUN_162Dy,0,1,Asinh,5
Dy163Di,163Dy_DCX,DCX_163Dy,1,1,Asinh,5
Dy164Di,164Dy_MAP2,MAP2_164Dy,1,1,Asinh,5
Ho165Di,165Ho_yH2AX,yH2AX_165Ho,0,1,Asinh,5
Er166Di,166Er_pNFKB,pNFKB_166Er,0,1,Asinh,5
Er167Di,167Er_Islet1,Islet1_167Er,1,1,Asinh,5
Er168Di,168Er_pAKt,pAKt_168Er,0,1,Asinh,5
Tm169Di,169Tm_GFAP,GFAP_169Tm,0,1,Asinh,5
Er170Di,170Er_pTrkB,pTrkB_170Er,0,1,Asinh,5
Yb171Di,171Yb_pERK,pERK_171Yb,0,1,Asinh,5
Yb172Di,172Yb_BLBP,BLBP_172Yb,1,1,Asinh,5
Yb173Di,173Yb_CC3,CC3_173Yb,0,1,Asinh,5
Yb174Di,174Yb_TrkB_i,TrkB_i_174Yb,1,1,Asinh,5
Lu175Di,175Lu_pS6,pS6_175Lu,0,1,Asinh,5
Lu176Di,176Lu_pCreb,pCreb_176Lu,0,1,Asinh,5
BCKG190Di,190BCKG,190BCKG,0,0,Asinh,5
Ir191Di,191Ir_DNA,DNA_191Ir,0,1,Asinh,5
Ir193Di,193Ir_DNA,DNA_193Ir,0,1,Asinh,5
Pt194Di,194Pt,194Pt,0,0,Asinh,5
Pt195Di,195Pt_Cisplatin,Cisplatin_195Pt,0,0,Asinh,5
Pt198Di,198Pt,198Pt,0,0,Asinh,5
Pb208Di,208Pb,208Pb,0,0,Asinh,5
Bi209Di,209Bi,209Bi,0,0,Asinh,5
beadDist,beadDist,beadDist,0,0,Linear,1
bc_separation_dist,bc_separation_dist,bc_separation_dist,0,0,Linear,1
mahalanobis_dist,mahalanobis_dist,mahalanobis_dist,0,0,Linear,1
